cod,nombre,prov,reg,sup,pobl,dens,idh
6116,Requínoa,Cachapoal,Lib. Gral. Bernardo O'Higgins,673.0,26235,33.0,668.0
6117,San Vicente,Cachapoal,Lib. Gral. Bernardo O'Higgins,497.8,47716,66.6,694.0
6201,Pichilemu,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,749.1,13916,16.5,677.0
6202,La Estrella,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,435.0,4821,9.7,696.0
6203,Litueche,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,619.0,5591,8.9,645.0
6204,Marchihue,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,660.0,7557,10.4,0.67
6205,Navidad,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,300.0,5650,18.0,651.0
6206,Paredones,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,562.0,6802,11.9,628.0
6301,San Fernando,Colchagua,Lib. Gral. Bernardo O'Higgins,2441.0,75221,30.8,725.0
6302,Chépica,Colchagua,Lib. Gral. Bernardo O'Higgins,503.0,15820,27.5,637.0
6303,Chimbarongo,Colchagua,Lib. Gral. Bernardo O'Higgins,498.0,35664,64.9,674.0
6304,Lolol,Colchagua,Lib. Gral. Bernardo O'Higgins,597.0,6630,10.4,628.0
6305,Nancagua,Colchagua,Lib. Gral. Bernardo O'Higgins,111.0,18921,140.9,665.0
6306,Palmilla,Colchagua,Lib. Gral. Bernardo O'Higgins,237.0,12373,47.3,676.0
6307,Peralillo,Colchagua,Lib. Gral. Bernardo O'Higgins,282.6,10933,38.6,653.0
6308,Placilla,Colchagua,Lib. Gral. Bernardo O'Higgins,146.9,9624,65.5,621.0
6309,Pumanque,Colchagua,Lib. Gral. Bernardo O'Higgins,441.0,3458,7.8,635.0
6310,Santa Cruz,Colchagua,Lib. Gral. Bernardo O'Higgins,419.5,35255,77.2,719.0
7101,Talca,Talca,Maule,232.0,264842,928.5,731.0
7102,Constitución,Talca,Maule,1344.0,41416,34.3,715.0
7103,Curepto,Talca,Maule,1073.8,9714,9.7,644.0
7104,Empedrado,Talca,Maule,565.0,4250,7.4,637.0
7105,Maule,Talca,Maule,190.0,21957,88.6,681.0
7106,Pelarco,Talca,Maule,332.0,7959,21.8,653.0
7107,Pencahue,Talca,Maule,956.8,9187,8.6,649.0
7108,Río Claro,Talca,Maule,431.0,13020,30.2,671.0
7109,San Clemente,Talca,Maule,4504.0,39554,9.5,659.0
7110,San Rafael,Talca,Maule,263.5,8512,29.1,629.0
7201,Cauquenes,Cauquenes,Maule,2216.0,40245,19.4,656.0
7202,Chanco,Cauquenes,Maule,530.0,9571,17.8,612.0
7203,Pelluhue,Cauquenes,Maule,371.0,6636,17.2,694.0
7301,Curicó,Curicó,Maule,1328.0,177766,133.8,0.71
7302,Hualañé,Curicó,Maule,629.0,9977,15.4,631.0
7303,Licantén,Curicó,Maule,273.0,6689,25.2,705.0
7304,Molina,Curicó,Maule,1552.0,40329,25.8,663.0
